// file containing all PCM Synth Partial waveforms SRX09
"World Tour"
"Sheng C"
"Suona A"
"Suona B"
"Suona C"
"Shahnai"
"Mizmar"
"Mizmar Lp"
"Piri"
"Piri Lp"
"Conch Shell1"
"Conch Shell2"
"Didge MENU"
"Didgeridoo 1"
"Didgeridoo 2"
"Didgeridoo 3"
"Accrd ff OpA"
"Accrd ff OpB"
"Accrd ff OpC"
"Accrd Cls A"
"Accrd Cls B"
"Accrd Cls C"
"Musette 4 A"
"Musette 4 B"
"Musette 4 C"
"D.AccordionA"
"D.AccordionB"
"D.AccordionC"
"Harmonica2 A"
"Harmonica2 B"
"Harmonica2 C"
"Harmonica3 A"
"Harmonica3 B"
"Harmonica3 C"
"Harmonica4 A"
"Harmonica4 B"
"Harmonica4 C"
"Voice MENU 1"
"Yoh Tribe"
"How Tribe"
"Hey Brazil"
"Yyoo Dude"
"ZaghrutaLoop"
"ZaghrutaStop"
"Bull Scream"
"Voice MENU 2"
"Sabor!"
"Arriba!"
"Ole!"
"Uno!"
"Dos!"
"Tres!"
"Quatro!"
"Grito-Hahaha"
"Grito-Ahaha!"
"Grito-Haahai"
"Grito-Rrrrr!"
"Voice MENU 3"
"Tiquitito!"
"Grito-Oa Oa!"
"Grito-Eh Eh!"
"Ama ya ahi!"
"Fuego!"
"SambaBateria"
"AsiaGng MENU"
"Asian Gong 1"
"Asian Gong 2"
"Asian Gong 3"
"Asian Gong 4"
"Asian Gong 5"
"Asian Gong 6"
"Asian Gong 7"
"REV Gong 5"
"REV Gong 7"
"Gong MENU"
"Gamelan Gong"
"Kempur"
"Kajar"
"Kelontuk"
"Kelontuk Mt"
"Kelontuk Sid"
"Kemong"
"Ceng Ceng"
"Kopyak Op"
"Kopyak Mt"
"Kane"
"Kane Side"
"Korea MENU"
"Ching Open"
"Ching Mute"
"Kwaengwari p"
"Kwaengwari f"
"KwaengwariMt"
"Bonang"
"Spokes"
"Satellite Dr"
"Atarigane"
"China MENU"
"Xiao Bo"
"Nao Bo"
"Shou Luo 1"
"Shou Luo 2"
"HuYinLuoL Op"
"HuYinLuoL Mt"
"HuYinLuoH Op"
"HuYinLuoH Mt"
"Ban Gu 1"
"Ban Gu 2"
"Ban Gu 3"
"Gender"
"Saron"
"Jegogan A"
"Jegogan B"
"Jegogan C"
"Jublag A"
"Jublag B"
"Jublag C"
"Pemade A"
"Pemade B"
"Pemade C"
"Reyong A"
"Reyong B"
"Reyong C"
"Reyong Sid A"
"Reyong Sid B"
"Reyong Sid C"
"Steel Dr 2"
"Kalimba 1"
"Kalimba 2"
"Kalimba 3"
"Kalimba Glis"
"Kalim Gls Lp"
"Balaphone 1"
"Balaphone 2"
"AsiaCym MENU"
"Chenchen Ptn"
"Chenchen Opn"
"Chenchen Cls"
"BaliCym Opn"
"BaliCym Cls"
"Finger Cym"
"Ramacymbal"
"Sagat Open"
"Sagat Close"
"Sarna Bell"
"Wind Bell"
"Blossom Bell"
"Agogo MENU"
"Agogo 2 Lo"
"Agogo 2 Hi"
"Agogo 3 Lo"
"Agogo 3 Hi"
"AggoCwblMenu"
"BongoBell Op"
"BongoBell Mt"
"MamboBell Op"
"MamboBell Mt"
"Cowbell 1"
"Cowbell 2"
"Cowbell 3"
"VDrm Cowbell"
"Cowbell Op 1"
"Cowbell Mt 1"
"Cowbell Op 2"
"Cowbell Mt 2"
"TablaByMENU1"
"TablaBaya 1"
"TablaBaya 2"
"TablaBaya 3"
"TablaBaya 4"
"TablaBaya 5"
"TablaBaya 6"
"TablaBaya 7"
"TablaBaya 8"
"TablaByMENU2"
"TablaBayaSld"
"TablaBayaGin"
"TablaBaya Ge"
"TablaBaya Ka"
"TablaBaya Na"
"TablaBayaTin"
"TablaBayaTun"
"TablaBaya Te"
"TablaBaya Ti"
"Dholak MENU1"
"Dholak 1"
"Dholak 2"
"Dholak 3"
"Dholak 4"
"Dholak 5"
"Dholak 6"
"Dholak 7"
"Dholak 8"
"Dholak 9"
"Dholak MENU2"
"Dholak Ga"
"Dholak Ta"
"Dholak Tun"
"Dholak Na"
"Madal MENU"
"Madal Da"
"Madal Din"
"Madal Ta"
"Dhol MENU"
"Dhol 1"
"Dhol 2"
"Dhol 3"
"Dhol 4"
"Dhol 5"
"Udu Pot MENU"
"Udu Pot1 Lo"
"Udu Pot1 Hi"
"Udu Pot1 Slp"
"Udu Pot1 Acc"
"Udu Pot2 Lng"
"Udu Pot2 Sht"
"Udu Pot2 Mut"
"Kendang MENU"
"Wadon 1"
"Wadon 2"
"Wadon 3"
"Wadon 4"
"Wadon 5"
"Wadon 6"
"Wadon 7"
"Bebarongan 1"
"Bebarongan 2"
"Bebarongan 3"
"Pelegongan 1"
"Pelegongan 2"
"Pelegongan 3"
"TalkingDr Up"
"TalkingDr Dn"
"AfroDrm MENU"
"AfroDrum Op1"
"AfroDrum Op2"
"AfroDrum Flm"
"AfroDrum Rat"
"Tablah MENU"
"Tablah Bend"
"Tablah Dom"
"Tablah Tak"
"Tablah Rim"
"Tablah Roll"
"Doira Dun"
"Doira Tik"
"Doholla MENU"
"Doholla Dom"
"Doholla Sak"
"Doholla Tak"
"Doholla Roll"
"Doholla Stop"
"Rek MENU"
"Rek Dom"
"Rek Tek"
"Rek Open"
"Rek Trill"
"Bendir 1"
"Bendir 2"
"Dawul"
"JapanPrcMENU"
"Japan MENU"
"Ho"
"Yoh"
"iYooh"
"Taiko"
"Wadaiko"
"Wadaiko Rim"
"Sime Taiko"
"Shimedaiko 2"
"Buk"
"Buk Rim"
"Tsuzumi Lo"
"Tsuzumi Hi"
"Tsuzumi 2 p"
"Tsuzumi 2 mf"
"Tsuzumi 2 Hi"
"Mokugyo 1"
"Mokugyo 2"
"Ohkawa"
"Ohkawa 2"
"Hyoshigi"
"Hyoshigi 2"
"Clapstick"
"VDrm Woodblk"
"Boomerang"
"Changgo"
"Tang Gu Op"
"Tang Gu Mt"
"Shu Gu"
"Shu Gu Rim"
"Shu Ban 1"
"Shu Ban 2"
"Ban Gu 4"
"ChinaPrcMENU"
"Gu Roll"
"Gu Hi"
"Rot Drum"
"Log Drum 2"
"Slit Drum"
"Bongo MENU 1"
"Bongo 1 Lo"
"Bongo 1 Hi"
"Bongo 2 Lo"
"Bongo 2 Hi"
"Bongo MENU 2"
"Bongo LoOp f"
"Bongo Lo Hrd"
"Bongo Lo Sft"
"Bongo LoOpmf"
"Bongo LoSlap"
"Bongo Hi Hrd"
"Bongo HiOp f"
"BongoHiSlap1"
"BongoHiSlap2"
"Conga Menu"
"CongaLoOp f"
"CongaLoOp mf"
"Conga Lo Mt"
"Conga Slap"
"Conga Hi Op"
"Conga Hi Mt"
"Conga Thumb"
"Conga Link"
"Conga Roll"
"Timbale MENU"
"Timbale Lo"
"Timbale Hi"
"Timbale Side"
"TimbalesMenu"
"Timbles LoOp"
"Timbles LoMt"
"Timbles HiOp"
"Timbles HiMt"
"TimbalesHand"
"Timbales Rim"
"TmbSideStick"
"TimbalesFil1"
"TimbalesFil2"
"TimbalesFil3"
"TimbalesFil4"
"Surdo MENU 1"
"Surdo Open L"
"Surdo Open H"
"Surdo Mute"
"Surdo Rim"
"Surdo MENU 2"
"Surdo Hard"
"Surdo Open1"
"Surdo Open2"
"Surdo Mute2"
"Surdo Rim 2"
"Surdo Soft"
"Caixa MENU 1"
"Caixa Open1"
"Caixa Open2"
"Caixa Roll"
"Caixa Mute"
"Caixa MENU 2"
"Caixa Open3"
"Caixa Mute2"
"Caixa Roll2"
"Caixa Rim"
"Rpnq&RpqMenu"
"RepiniqueHrd"
"RepiniqueSft"
"Repinique1"
"Repinique2"
"Repique Open"
"Repique Rim"
"Repique Roll"
"Clv&CucaMenu"
"Clave!"
"Claves Lo 2"
"VDrm Claves"
"Cuica 2"
"Cuica 3"
"Cuica Lo 1"
"Cuica Lo 2"
"Cuica Hi 1"
"Cuica Hi 2"
"MrcsShkrMenu"
"Maracas 2"
"MaracasUpDwn"
"VDrm Maracas"
"Shaker MENU"
"Shaker Ptn"
"Shaker 1"
"Shaker 2"
"Shaker Long"
"Shaker Short"
"Angklung 2"
"Rainstick"
"Guiro Long"
"Guiro Short"
"Guiro Menu"
"Quide Long"
"Quide Short"
"Guiro Long2"
"Guiro Short2"
"RecoRecoLng"
"RecoRecoSht"
"MtlGuiroLng"
"MtlGuiroSht"
"CbsCxGnzMenu"
"Real Cabasa1"
"Real Cabasa2"
"Cabasa Roll"
"VDrmCabasaUp"
"VDrmCabasDwn"
"Caxixi"
"Ganza Soft"
"Ganza Hard"
"Chekere 1"
"Chekere 2"
"PandeiroMENU"
"PandeiroL Lo"
"PandeiroL Hi"
"PandeiroL Sp"
"PandeiroL Rm"
"PandeiroS Op"
"PandeiroS Sp"
"PandeiroS Rm"
"PandTambMenu"
"PandeiroOpen"
"PandeiroMute"
"PandeiroHit"
"PandeiroRim"
"PandeiroCrsh"
"PandeiroRoll"
"TamborimMENU"
"Tamborim Opn"
"Tamborim Mut"
"Tamborim Slp"
"TamborimOpen"
"TamborimRim"
"TamborimMute"
"TamborimRoll"
"Tambrin Hit"
"TambrinShake"
"R8 Tamb"
"Others Menu"
"ApitoHiShort"
"ApitoLoShort"
"SambaWhistle"
"Quijada"
"Chekere 3"
"CajonClpMenu"
"Cajon Lo"
"Cajon Hi"
"Cajon Rol Hi"
"Cajon Rol Lo"
"Afro Feet 1"
"Afro Feet 2"
"Afro Clap"
"Hand Clap 2"
"Claps Real"
"FingerSnaps4"
"BomboBbnMenu"
"SoftSet Menu"
"HardSet Menu"
"Fat BD"
"Room Kick 2"
"Maple Kick"
"Warm Kick"
"Maple Lo Snr"
"MapleSoft SN"
"NaturlHardSN"
"NaturlRimSht"
"Cross Stick2"
"StudioLo Tom"
"StudioMidTom"
"StudioHi Tom"
"Dixie HH Pdl"
"Dixie HH Cls"
"Dixie HH Hlf"
"Dixie HH Opn"
