// file containing all PCM Synth Partial waveforms SRX03
"Sn w/Cym 3 R"
"Sn w/Cym 4 L"
"Sn w/Cym 4 R"
"StdioT MenuL"
"StdioT MenuR"
"StdioT1sft L"
"StdioT1sft R"
"StdioT1med L"
"StdioT1med R"
"StdioT1hrd L"
"StdioT1hrd R"
"StdioT1flm1L"
"StdioT1flm1R"
"StdioT1flm2L"
"StdioT1flm2R"
"StdioT2sft L"
"StdioT2sft R"
"StdioT2med L"
"StdioT2med R"
"StdioT2hrd L"
"StdioT2hrd R"
"StdioT2flm1L"
"StdioT2flm1R"
"StdioT2flm2L"
"StdioT2flm2R"
"StdioT3sft L"
"StdioT3sft R"
"StdioT3med L"
"StdioT3med R"
"StdioT3hrd L"
"StdioT3hrd R"
"StdioT3flm1L"
"StdioT3flm1R"
"StdioT3flm2L"
"StdioT3flm2R"
"StdioT4sft L"
"StdioT4sft R"
"StdioT4med L"
"StdioT4med R"
"StdioT4hrd L"
"StdioT4hrd R"
"StdioT4flm1L"
"StdioT4flm1R"
"StdioT4flm2L"
"StdioT4flm2R"
"StdioH MenuL"
"StdioH MenuR"
"StdioH cl1 L"
"StdioH cl1 R"
"StdioH cl2 L"
"StdioH cl2 R"
"StdioH cl3 L"
"StdioH cl3 R"
"StdioH cl4 L"
"StdioH cl4 R"
"StdioH cl5 L"
"StdioH cl5 R"
"StdioH hcl L"
"StdioH hcl R"
"StdioH op1 L"
"StdioH op1 R"
"StdioH op2 L"
"StdioH op2 R"
"StdioH op3 L"
"StdioH op3 R"
"StdioH pdl1L"
"StdioH pdl1R"
"StdioH pdl2L"
"StdioH pdl2R"
"Conga2 MenuL"
"Conga2 MenuR"
"Cng2LoMtSftL"
"Cng2LoMtSftR"
"Cng2LoMtHrdL"
"Cng2LoMtHrdR"
"Cng2LoOpSftL"
"Cng2LoOpSftR"
"Cng2LoOpHrdL"
"Cng2LoOpHrdR"
"Cng2LoRoll L"
"Cng2LoRoll R"
"Cng2HiMtSftL"
"Cng2HiMtSftR"
"Cng2HiMtHrdL"
"Cng2HiMtHrdR"
"Cng2HiOpSftL"
"Cng2HiOpSftR"
"Cng2HiOpHrdL"
"Cng2HiOpHrdR"
"Cng2SlClSftL"
"Cng2SlClSftR"
"Cng2SlClHrdL"
"Cng2SlClHrdR"
"Cng2SlOpSftL"
"Cng2SlOpSftR"
"Cng2SlOpHrdL"
"Cng2SlOpHrdR"
"Cng2HiFlam L"
"Cng2HiFlam R"
"Cng2HiRoll L"
"Cng2HiRoll R"
"Bngo4LoMenuL"
"Bngo4LoMenuR"
"Bg4LFngrSftL"
"Bg4LFngrSftR"
"Bg4LFngrHrdL"
"Bg4LFngrHrdR"
"Bg4LFngsSftL"
"Bg4LFngsSftR"
"Bg4LFngsHrdL"
"Bg4LFngsHrdR"
"Bg4LMuteSftL"
"Bg4LMuteSftR"
"Bg4LMuteHrdL"
"Bg4LMuteHrdR"
"Bg4LSlapSftL"
"Bg4LSlapSftR"
"Bg4LSlapHrdL"
"Bg4LSlapHrdR"
"Bg4LOpenSftL"
"Bg4LOpenSftR"
"Bg4LOpenHrdL"
"Bg4LOpenHrdR"
"Bngo4HiMenuL"
"Bngo4HiMenuR"
"Bg4HFgMtSftL"
"Bg4HFgMtSftR"
"Bg4HFgMtHrdL"
"Bg4HFgMtHrdR"
